company,position,question,answer
(주)케이티디에스,웹개발,"kt ds 및 해당 직무에 지원한 동기와 입사 후 해당 직무의 전문가로 성장하기 위해 어떠한 노력을 할지 구체적으로 기술해 주십시오. (최소 650자, 최대 700자 입력 가능)","회사를 선택하는 데 있어서 가장 중요한 기준은, 좋은 동료들과 함께 노력한 결과가 실제 사람들에게 도움이 될 수 있는가입니다. 개발자로서의 꿈이자 목표는 스스로 유명해지거나 돈을 많이 버는 것이 아닙니다. 만든 프로그램으로 인해 시간을 절약하고 편리한 삶을 누리는 것을 지켜본다면 만족하며, 개발에 있어서 원동력입니다.
대한민국을 대표하며 혁신과 변화를 추구하는 KT는 새로운 기술을 빠르게 도입하여 고객의 삶을 편리하게 해 왔습니다. KT DS는 이러한 외적으로 보이는 KT 그룹의 혁신과 변화를 위해 그룹 내부에서 지원해 왔고, DS가 존재했기 때문에 KT 그룹이 성장해 왔다 생각합니다.
또한 IT의 중요성은 지속적으로 증가해나가고 있고, 다양한 산업에서 디지털 전환이 강조된 오고 있습니다. KT 그룹은 디지털 전환 시장을 주도해오고 있고, 그룹 내에서 KT DS의 중요도 역시 높아져가고 있다 생각합니다.
개발자로서 사람들에게 편리한 삶을 누리게 하고 싶다는 지향점을 KT DS에서 많은 고객과 KT 그룹원들을 위해 쏟아낼 수 있다 생각하여 지원하게 되었으며, 커져가는 시장 속에서 KT DS와 함께 성장하며 DS와 그룹 전체를 위해 기여하고 싶습니다.
입사 후 지금까지 꾸준히 공부한 알고리즘과 함께 회사에서 사용하는 프레임워크에 대해 공부 및 주변 동료들과 공유 및 논의함으로써 동료들과 함께 성장하여, 회사와 구성원 모두 함께 성장하고 싶습니다."
(주)케이티디에스,웹개발,"지원한 직무를 수행하기 위해 필요한 핵심 역량은 무엇이라고 생각하며, 그 이유에 대해 설명해 주십시오. 또한 해당 역량을 갖추기 위해 본인이 어떤 노력을 하였는지 기술해 주십시오. (최소 750자, 최대 800자 입력 가능)","개인적으로 생각하기에 가장 중요한 역량은 변화를 두려워하지 않는 것과 빠르게 배우는 것이라 생각합니다. IT 산업은 빠르게 변화해오고 있으며, 어제까지는 가장 좋은 선택지였으나 오늘 더 좋은 선택지가 생겨나는 것은 흔한 일입니다. 또한 이루고자 하는 목표에 따라 합당한 선택지가 다르기 때문에 새로운 목표를 이루고자 할 때 새롭다 하더라도 합리적인 선택지를 선택해야 합니다. 그렇기 때문에 IT에 종사하는 것을 목표로 한다면 변화를 두려워해서는 안 되며, 새로운 것을 항상 받아들일 준비가 돼있어야 한다 생각합니다.
현재 교육받고 있는 OOOOO에서 Web에 대해 사실상 처음 배우게 되었지만, Spring, MyBatis, Vue와 같이 과거에 접해보지 않았던 기술들을 접할 때, 사용하기에 편리하고 왜 해당 기술을 사용하는지 이해하며 배웠습니다. 기술에 대한 흥미를 통하여 OOOOO 1학기 교육 과정에서 성적 우수상을 받을 수 있었습니다.
이후에도 OOOOO 2학기 프로젝트를 백엔드/인프라 담당으로 참여하며, ORM 기술인 JPA Hibernate를 적용하며 배웠던 SQL Mapper인 MyBatis와의 차이와 장단점을 이해하고 ORM과 SQL Mapper를 각각 어느 상황에 사용해야 하나 생각해 보았습니다. Spring Security, WebRTC(Openvidu), CDN, SMTP, Oracle Object Storage 등 다양한 기술을 프로젝트에 적용해 보았고 이를 바탕으로 우수 프로젝트상을 받았습니다.
이러한 노력을 바탕으로 OOOOO 우수 교육생으로 선정되어 삼성 리서치 연계 오픈소스 프로젝트에 참여하였습니다."
(주)케이티디에스,웹개발,"최근 3년 내 가장 어려웠던 도전은 무엇이었으며 그 경험을 통해 무엇을 배웠는지 기술해 주십시오. (최소 650자, 최대 700자 입력 가능)","OOOOO에서 우수 교육생으로 선정되어 삼성리서치와 연계하여 오픈 소스 프로젝트인 One에서 사용하는 on device ai model인 circle로 다른 프레임워크에서 생성된 quantization paramter를 이식하는 quantization paramter importer(이하 q-implant)에 참여했던 것이었습니다.
프로젝트 주제가 흥미로워서 도전했으나 심화적인 내용을 다뤄팀원들 모두 많은 어려움과 부족함을 느낄 수 있었습니다.
하지만 q-implant에 사용될 데이터를 PyTorch에서 생성하는 q-extract-torch를 주도적으로 구현하여 q-implant가 PyTorch↔Circle 간에 동작하나 확인해 볼 수 있어 어렵더라도 꾸준히 노력을 할 수 있던 것 같습니다.
또한 필요한 부분을 issue로 등록하고 작업한 코드를 pull request 하였을 때, 삼성리서치 현직자 선배님들께 적극적으로 코드 리뷰를 받을 수 있었습니다. OOOOO에서 교육생들과 협업할 때 서로 진행했던 코드리뷰도 프로젝트에 큰 도움이 되었고 협업 과정에 대해 많은 것을 깨달을 수 있던 기회였으나, 현직자 분들의 코드리뷰를 통해 부족했던 부분을 보완할 수 있었습니다.
이러한 도전 과정이 연계 프로젝트 중 1등으로 뽑혀 SDC Korea에 발표하게 되어 성취감을 느낌과 동시에 향후에도 적극적으로 도전해야겠다는 생각을 하게 되었습니다."
(주)케이티디에스,웹개발,"공동의 목표 달성을 위한 협업 경험을 본인이 수행한 역할 중심으로 설명하고, 그 경험을 통해 무엇을 얻었는지 기술해 주십시오. (최소 650자, 최대 700자 입력 가능)","OOOOO에서 WebRTC 기반 비대면 단체 클립 촬영 사이트에 백엔드/인프라 담당으로 참여하였을 때, 백엔드 팀원들 간에 적극적으로 코드 리뷰하는 것을 제안하였고, stacked diff 방식을 사용하여 코드 리뷰를 진행하였습니다. 또한 배워나가는 과정에 있기 때문에 백엔드 파트에서 명확하게 role을 설정하는 것이 아니라, 모든 작업 흐름을 코드 리뷰를 통해 따라가고 데일리 스크럼에서 그날 필요한 작업을 각자 선택하여, 백엔드에서 필요한 작업이 빠르게 작업되게 구성하였습니다.
이러한 과정은 코드 리뷰를 형식적으로 하는 것이 아니라 팀원들의 작업 내용을 전체적으로 따라가며, 발생할 수 있는 오류나 성능적으로 피해야 하는 상황을 모두 리뷰하며 해당하는 레퍼런스 문서를 첨부하였습니다. 'JPA에서 발생할 수 있는 N+1 문제를 사전에 발생할 수 있으니 조심하자', 'Join 정책은 어떻게 할 것인가?', 'Mapping은 양방향으로 하는 것이 맞는가, 단방향으로 하는 것이 맞는가'와 같은 논의를 통하여 주어진 상황에 대해 팀원들이 생각해 보고 각자가 생각하는 올바른 방향은 무엇인가와 이를 뒷받침하는 자료는 어떻게 되나를 공유함으로써 프로젝트의 완성도도 높이고 프로젝트에 대한 이해를 높일 수 있었습니다.
이를 통해 협업과 에자일에 대해 이해도를 높일 수 있었으며, 우수 프로젝트상을 받을 수 있었습니다."
(주)티시스,웹개발,"본인의 강점과 약점을 언급하시고, 그 강점이 앞으로 귀사와 본인의 발전에 어떻게 기여 할 수 있는지를 서술해주십시오 (최소 100자, 최대 20,000자 입력가능)","제 강점은 아이디어 도출 능력과 응용력입니다. 학교 프로젝트에서 주제나 아이디어의 대부분을 제시하는 편이었고 채택되는 경우도 많았습니다. 현재 수강 중인 OOOOO의 프로젝트 아이디어도 제가 도출해 냈고, 기능구현, 작명에 대해서도 많은 기여를 했습니다. 평소에도 무언가를 할 때도 정답이 있음에도 '다른 방법으로 해결할 수는 없을까 '라는 생각을 생각을 자주 하는 편이고, 스스로 창의적이고 싶어서 끊임없이 아이디어를 생각해보는 시간을 가지면서 더 장점이 부각되었습니다.
다른 장점인 응용력은 고등학교 시절 수리논술을 공부하면서 많이 성장 시킬 수 있었습니다. 프로그래밍 공부를 할 때도 하나의 기능에 대해서 배우면 비슷한 기능들은 무엇이 있는지, 그런 기능들은 어디에 어떻게 활용할 수 있는지 생각해보는 편이며, 남들에 비해 빠르게 습득하고 활용하는 점을 느껴서 제 장점 중 하나로 응용력을 뽑았습니다. 창의적 아이디어 도출과 응용력을 기반으로 고객들에게 어떻게 더 다가갈 수 있을지, 어떤 점들을 창의적으로 추가, 수정, 보완해서 발전시킬 수 있는지에 대해서 항상 고민하면서 지속적으로 발전시켜 나갈 수 있습니다.
제 약점은 계획을 잘 세우지 못하는 점입니다. 공부를 할 때, 여행을 할 때 등 계획이 필요한 활동들을 할 때, 대략적으로 뼈대만 잡아 놓고 구체적인 계획은 세우지 않는 편입니다. 이 약점 때문에 여행 중 맛집 운영 시간을 잘 못 알아서 여행 계획에 약간의 차질이 생긴 경우도 있습니다. 그리고 시험공부를 할 때도 구체적 계획을 세우지 못해서 시험 직전 며칠동안 더 힘들었던 기억이 있습니다. 현재 이 약점을 고치기 위해서 간단한 캘린더를 작성하기도 하고 공부한 내용들을 요약한 파일들을 조금씩 늘려나가고 있습니다."
(주)티시스,웹개발,"당사에 지원하게 된 동기 및 당사의 일원으로서 이루고 싶은 목표를 서술해주십시오. (최소 100자, 최대 20,000자 입력가능)","졸업 후 공백 없이 바로 듣는 교육이다 보니 취업에 대한 고민이나 취업에 대해서 크게 생각 없이 지내던 중, OOOOO에서 취업 연계 시스템에 있는 티시스를 보고 인재상에서 변화와 실행 부분이 저와 잘 맞는다고 생각해서 지원하게 되었습니다. 비전공자이다 보니 전공 cs지식은 부족할 수 있으나, 프로그래밍에 대한 열정은 누구에게도 지지 않습니다. 학교 프로젝트 중에 밤을 새서 기능 구현을 하는 경우도 많았고, 그룹스터디를 통해서 서로 알고리즘과 기초 개념공부를 하면서 개발자에 대한 꿈을 향해 열정을 가지고 달려왔고, 앞으로도 발전 가능성이 높다고 자부할 수 있습니다.
태광그룹의 사업 분야 중 특히 금융, 미디어분야에 관심이 많은데, 만약 그 분야에서 일하게 되는 기회가 온다면, 고객의 입장에서 생각하며 고객에게 효율적이고 편리한 서비스를 제공하는 개발자가 되고 싶습니다. 더 나아가 이용자 수 증가와 고객 만족도를 같이 향상 시킬 수 있는 방법을 모색해서 기업 성장에 크게 기여하는 개발자가 되겠습니다."
LG CNS,웹개발,지원분야와 관련된 지식이나 경험을 기재하여 주십시오.,"삼성 청년 SW 아카데미에서 팀원들과 프로젝트 경험을 하며 사용자 관점의 중요성과 빅데이터 분석을 통한 합리적 의사결정을 배웠습니다. 고령층을 위한 키오스크를 제작하는 IoT 프로젝트에서는 캄테크 기술을 적용하여 사용자의 터치 입력을 최소화하기 위해 노력했습니다. 이러한 과정에서 default 값의 변경과 같은 사소한 변화도 사용자 경험을 향상시킬 수 있다는 것을 배우게 됐습니다. 또한 빅데이터를 활용한 게임 추천 서비스를 기획하는 프로젝트에서는 사용자의 평점, 리뷰, 취향 데이터들을 종합적으로 활용하여 추천 알고리즘을 만드는 활동을 했습니다. 이 과정에서 KNN 알고리즘을 활용하여 데이터 분석을 통해 합리적 의사결정을 내리는 방법을 배웠습니다. 그래서 이러한 경험을 토대로 현재의 ERP 시스템에 빅데이터 활용 등과 같은 기술 도입을 통해 업무 프로세스를 개선할 수 있는 점이 있는지 사용자 관점에서 고민하면서 직원들의 업무 생산성 증대에 기여하도록 하겠습니다."
LG CNS,웹개발,LG CNS에 지원한 동기와 입사 이후 꿈꾸는 것은 무엇인가요,"저는 배움을 통해 도전하는 사람입니다. 2년 반 동안 은행에서 일하며 금융업의 디지털화를 몸소 느끼면서 디지털 역량에 대한 갈망을 느끼게 되었고, 삼성 청년 SW 아카데미 교육 과정에 입과 하게 되었습니다. 이후 약 8개월간 매일같이 아침부터 밤까지 공부하며 개발자로서의 기본기를 다졌습니다. LG CNS는 고객 가치 혁신을 위해 도전하고 성장해가는 회사입니다. 특히 최근에는 차세대 ERP 프로젝트를 위해 SAP와 협력을 하기도 했습니다. 이처럼 빠르게 변화하는 디지털 환경에서 새로운 선택을 통해 성장해나가는 모습이 저의 가치관과 부합한다고 생각하여 지원하게 되었습니다. 그래서 향후 입사 후에는 경제학적 지식을 십분 활용하여 재경 도메인에서의 전문가로 성장하고 싶습니다. 특히 RPA, AI 분야 등에 대한 학습을 통해 고객에게 더 나은 솔루션을 제공할 수 있는 ERP 컨설턴트로 성장해 나가고 싶습니다."
LG CNS,웹개발,"My Competency 지원분야와 관련된 구체적인 지식이나 경험을 기술해주십시오. Guide> 관련학습, 동아리 활동, 수상경험 등을 중심으로 자유롭게 기재해 주시기 바랍니다.","저는 학부 연구생을 하면서 연구실 홈페이지 개발 및 관리를 맡은 경험이 있습니다. 당시 처음으로 웹 백엔드를 접하게 되었고 스프링 부트로 연구실 홈페이지를 개발했고 이를 바탕으로 백엔드 전반 기술과 설계에 대한 흥미도 높아졌습니다. 이러한 흥미를 바탕으로 졸업 프로젝트인 '얼굴인식 기반 영상 인덱싱 서비스'에서도 아키텍쳐 설계와 백엔드를 맡아 개발했으며 교내 경진대회에서 우수상을 수상했습니다. 팀 단위의 개발을 경험한 이후 어떻게 협력하고 어떻게 설계하면 좋을 지 등 아키텍쳐 및 방법론 적인 부분에도 관심을 갖게 되었으며, 꾸준히 개발과 백엔드 기술 분야의 책을 읽으며 공부하고 토이프로젝트를 진행하고 있습니다."
LG CNS,웹개발,"Why LG CNS LG CNS에 지원한 동기와 입사 이후 꿈꾸는 것은 무엇인가요? Guide> *지원동기 : LG CNS에서 근무하고 싶은 이유, LG CNS를 알게 된 계기, IT 또는 컴퓨터에 관심을 가지게 된 계기 등 *꿈:입사 이후 성장하고 싶은 목표 및 비전 등","LG CNS는 다양한 서비스를 만들고 더 많은 사람에게 의미 있는 it 서비스를 만들어가고 있다고 생각했습니다. 그래서 저는 LG CNS에서 더 많은 사람들에게 더 나은 경험을 하게 해주는 it 서비스를 만들고 싶어서 지원하게 되었습니다. 그동안 프로젝트를 진행하면서도 어떤게 사람들을 더 편하게 할 수 있을까 고민하여 주제를 정하고, 무엇이 더 사용자에게 편리할지 고민해왔습니다. 그저 만들어내는 것에 그치지 않고 사용자의 경험을 우선시하며 의미 있는 서비스들을 만들어가고 싶습니다."
NC,웹개발,"NC 인턴십에 지원하게 된 배경과 인턴십을 통해 경험해보고 싶은 업무, 얻고자 하는 바가 있다면 기재해 주세요. (200~500자)","학부연구생을 할 당시 연구실 홈페이지를 맡아 개발한 경험이 있으며 스프링부트와 템플릿 엔진을 사용하여 백오피스 기능을 개발하고 온프레미스 환경에 배포했습니다. 이러한 경험을 통해 백엔드에 대한 흥미와 관심이 커졌고 이후 졸업 프로젝트에서는 얼굴인식을 사용한 서비스에서 웹 백엔드를 맡아 개발했습니다. 그리고 현재는 다양한 아키텍처와 기술에 관심을 갖고 MSA기반 'OOO'이라는 토이 프로젝트를 진행하고 있습니다.
프로젝트를 진행하고 다양한 기술을 접하고 관심을 갖게 되면서 더 다양한 경험을 해보고 싶었습니다. 혼자 하거나 작은 규모의 프로젝트에서 사용하거나 도입할 수 있는 기술에는 한계가 있습니다. 그래서 저는 인턴십에 지원했습니다. 인턴십을 통해 어떠한 방식으로 MSA가 실현되고 있는지, 로그는 어떤 방식으로 수집하는지, 배포 자동화는 어떤 식으로 하는 지 등 다양한 부분에서 고민했던 것과 비교해보며 배우고 싶습니다."
NC,웹개발,"학업, 팀/개인 프로젝트, 대외활동 등의 경험 중, 무언가에 빠져 끝까지 파고들어 보았던 경험과 결과를 기재해 주세요. 또한 이 경험을 통해 변화/성장한 부분이 있다면 함께 기재해 주세요. (200~500자)",'OOO'이라는 토이 프로젝트(2인)를 진행하고 있습니다. 해당 프로젝트는 MSA 기반으로 설계했습니다. 도메인을 고려하여 5개의 마이크로서비스로 쪼개 설계하고 모델링 했습니다. 마이크로서비스 사이의 효율적인 통신을 위해 gRPC를 도입하게 되었으며 캐싱을 위한 redis를 사용하는 등의 새로운 기술을 공부하며 도입했습니다. 새로운 기술을 도입하려면 스프링부트에서 의존성이나 컨피그 설정을 해야 할 일이 많았습니다. 그에 따라 스프링 독스를 다시 보면 기존에 부족했던 스프링에 대한 개념을 채우고 있습니다. SA 또한 공부하고 시작한 것이 아니라 간단한 개념만 파악하고 시작했기 때문에 책을 읽으며 공부를 하고 있습니다. 프로젝트를 진행하면서 부족한 부분을 많이 느끼게 되어 다시 근간이 되는 부분과 '왜'에 대한 고민을 하고 공부하고 있습니다.
